yelp_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,fsq_id,poi_id,poi_category
Lv-hi4LUucyA_KowF281Lw,Hot Stone Pizza and Shawarma,restaurants,1.0,1,43.25831694052118,-79.8438763490738,524 Barton Street E,L8L 2Y8,,FU1119,restaurants
ykRGJTVB_FBK1U7c_WMZyQ,Hotopia,restaurants,3.2,6,43.26089389381166,-79.88295394924148,468 King Street W,L8P 1B7,,OF4448,restaurants
kAcWMEOVkUWUsB7aCGTqZg,Hotties Smashburger,restaurants,5.0,1,43.2569083205337,-79.8370677,657 Barton Street E,L8L 3A3,,ZB0942,restaurants
QqOzCsRdU34Qc9OwgnK4Zg,Hungry Traveler,restaurants,1.3,3,43.2604984,-79.8958809,648 Main St W,L8S 1A2,,RU8982,restaurants
IeE9weFnbVhyH4W5r8sHqg,Hutch's Harbour Front,restaurants,2.6,19,43.26768,-79.86827,325 Bay Street N,L8L 1M5,,IC2558,restaurants
ZupbzbIeV2yh2eN62Ru9vg,India Village,restaurants,4.5,29,43.2664559748737,-79.9578530571332,100 King Street W,L9H 1T9,,GE5546,restaurants
8YHlyfvfuesYXvg2xXEqPg,Indian Chinese Halal,restaurants,2.6,5,43.2619095,-79.8762665,239 York Boulevard Unit 2,L8R 1Y7,,XM1046,restaurants
d5RF8lZWGT13aH21kjmW4A,Indian Spice,restaurants,3.5,4,43.23800992977651,-79.87724506781711,647 Upper James Street,L9C 2Y9,,VY9008,restaurants
snVFODoci_yTIbN2IpSJdg,Indonesian's Flavour,restaurants,4.5,2,43.25905271252308,-79.87022418005407,"35 York Boulevard Lower Ground ""Hamilton Farmers Market""",L8M 1B1,,RP6412,restaurants
0wGkJFppfdlouAlC6QZ2ow,Industria Pizzeria,restaurants,5.0,1,43.2539231,-79.86700239999999,69 John Street S,L8N 2B9,,SW8559,restaurants
ReQJe2aLzar3Hj-YT86lJg,Island Hi Eatery,restaurants,0.0,0,43.24771,-79.82858,1150 King Street E,L8M 1E8,,UX6413,restaurants
